"Date","Instagram Profile","Followers","Net Follower Growth","Followers Gained","Followers Lost","Following","Net Following Growth","Published Posts & Stories","Impressions","Reach","Engagements","Likes","Comments","Saves","Story Replies","Profile Actions","Engagement Rate (per Impression)"
"06-30-2021","ucberkeleysummer","1,462","1","1","0","113","0","0","69","3","0","0","0","0","0","0","0%"
"06-30-2021","ucbstudyabroad","2,244","2","2","0","223","0","0","123","90","17","16","0","1","0","1","13.82%"
"07-01-2021","ucberkeleysummer","1,463","1","1","0","113","0","1","151","132","2","2","0","0","0","1","1.32%"
"07-01-2021","ucbstudyabroad","2,245","1","2","1","223","0","1","433","271","12","12","0","0","0","0","2.77%"
"07-02-2021","ucberkeleysummer","1,466","3","3","0","113","0","0","43","42","1","1","0","0","0","0","2.33%"
"07-02-2021","ucbstudyabroad","2,241","-4","1","5","223","0","0","81","61","4","4","0","0","0","0","4.94%"
"07-03-2021","ucberkeleysummer","1,466","0","0","0","113","0","0","13","10","0","0","0","0","0","0","0%"
"07-03-2021","ucbstudyabroad","2,241","0","2","2","223","0","0","69","21","2","2","0","0","0","0","2.9%"
"07-04-2021","ucberkeleysummer","1,466","0","0","0","113","0","0","57","11","0","0","0","0","0","0","0%"
"07-04-2021","ucbstudyabroad","2,241","0","0","0","223","0","0","4","4","0","0","0","0","0","0","0%"
"07-05-2021","ucberkeleysummer","1,466","0","0","0","113","0","0","23","2","0","0","0","0","0","0","0%"
"07-05-2021","ucbstudyabroad","2,241","0","1","1","223","0","0","18","5","0","0","0","0","0","0","0%"
"07-06-2021","ucberkeleysummer","1,463","-3","0","3","113","0","1","261","225","10","9","1","0","0","0","3.83%"
"07-06-2021","ucbstudyabroad","2,238","-3","0","3","223","0","1","310","232","0","0","0","0","0","1","0%"
"07-07-2021","ucberkeleysummer","1,458","-5","1","6","113","0","0","59","58","5","4","1","0","0","1","8.47%"
"07-07-2021","ucbstudyabroad","2,237","-1","1","2","223","0","0","85","76","17","17","0","0","0","0","20%"
"07-08-2021","ucberkeleysummer","1,458","0","0","0","113","0","0","13","9","0","0","0","0","0","0","0%"
"07-08-2021","ucbstudyabroad","2,238","1","3","2","223","0","0","76","32","6","6","0","0","0","0","7.89%"
"07-09-2021","ucberkeleysummer","1,457","-1","1","2","113","0","2","357","198","6","5","0","1","0","0","1.68%"
"07-09-2021","ucbstudyabroad","2,239","1","2","1","223","0","1","310","250","7","7","0","0","0","0","2.26%"
"07-10-2021","ucberkeleysummer","1,456","-1","2","3","113","0","0","118","67","5","5","0","0","0","0","4.24%"
"07-10-2021","ucbstudyabroad","2,238","-1","2","3","223","0","0","58","47","3","3","0","0","0","0","5.17%"
"07-11-2021","ucberkeleysummer","1,459","3","4","1","113","0","0","72","33","4","4","0","0","0","0","5.56%"
"07-11-2021","ucbstudyabroad","2,241","3","3","0","223","0","0","49","14","2","2","0","0","0","0","4.08%"
"07-12-2021","ucberkeleysummer","1,462","3","3","0","113","0","0","17","7","0","0","0","0","0","0","0%"
"07-12-2021","ucbstudyabroad","2,243","2","2","0","223","0","1","371","290","14","14","0","0","0","0","3.77%"
"07-13-2021","ucberkeleysummer","1,462","0","0","0","113","0","0","24","6","0","0","0","0","0","1","0%"
"07-13-2021","ucbstudyabroad","2,245","2","2","0","223","0","0","89","56","1","1","0","0","0","0","1.12%"
"07-14-2021","ucberkeleysummer","1,462","0","2","2","113","0","0","38","2","0","0","0","0","0","0","0%"
"07-14-2021","ucbstudyabroad","2,246","1","2","1","223","0","0","25","19","0","0","0","0","0","0","0%"
"07-15-2021","ucberkeleysummer","1,463","1","1","0","113","0","1","196","173","8","7","0","1","0","0","4.08%"
"07-15-2021","ucbstudyabroad","2,247","1","2","1","223","0","1","430","372","14","14","0","0","0","0","3.26%"
"07-16-2021","ucberkeleysummer","1,463","0","1","1","113","0","0","67","53","1","1","0","0","0","0","1.49%"
"07-16-2021","ucbstudyabroad","2,248","1","4","3","223","0","0","84","54","2","2","0","0","0","0","2.38%"
"07-17-2021","ucberkeleysummer","1,464","1","1","0","113","0","0","25","14","1","1","0","0","0","0","4%"
"07-17-2021","ucbstudyabroad","2,251","3","3","0","223","0","0","47","19","0","0","0","0","0","0","0%"
"07-18-2021","ucberkeleysummer","1,464","0","0","0","113","0","0","2","2","0","0","0","0","0","0","0%"
"07-18-2021","ucbstudyabroad","2,249","-2","0","2","223","0","0","12","7","0","0","0","0","0","0","0%"
"07-19-2021","ucberkeleysummer","1,463","-1","0","1","113","0","0","135","5","0","0","0","0","0","0","0%"
"07-19-2021","ucbstudyabroad","2,248","-1","0","1","223","0","0","43","7","1","1","0","0","0","0","2.33%"
"07-20-2021","ucberkeleysummer","1,463","0","0","0","113","0","0","3","2","0","0","0","0","0","0","0%"
"07-20-2021","ucbstudyabroad","2,248","0","1","1","223","0","1","387","349","0","0","0","0","0","0","0%"
"07-21-2021","ucberkeleysummer","1,461","-2","3","5","113","0","0","5","3","1","0","0","1","0","0","20%"
"07-21-2021","ucbstudyabroad","2,251","3","3","0","223","0","0","173","159","34","34","0","0","0","0","19.65%"
"07-22-2021","ucberkeleysummer","1,461","0","1","1","113","0","0","11","4","0","0","0","0","0","0","0%"
"07-22-2021","ucbstudyabroad","2,251","0","1","1","222","-1","0","53","34","3","2","0","1","0","0","5.66%"
"07-23-2021","ucberkeleysummer","1,461","0","0","0","113","0","0","1","1","0","0","0","0","0","0","0%"
"07-23-2021","ucbstudyabroad","2,249","-2","0","2","222","0","1","214","187","0","0","0","0","0","0","0%"
"07-24-2021","ucberkeleysummer","1,461","0","0","0","113","0","0","27","3","0","0","0","0","0","0","0%"
"07-24-2021","ucbstudyabroad","2,249","0","0","0","221","-1","0","189","156","11","11","0","0","0","0","5.82%"
"07-25-2021","ucberkeleysummer","1,460","-1","1","2","112","-1","0","0","0","0","0","0","0","0","0",""
"07-25-2021","ucbstudyabroad","2,249","0","1","1","220","-1","0","78","36","4","4","0","0","0","1","5.13%"
"07-26-2021","ucberkeleysummer","1,458","-2","1","3","112","0","1","170","138","4","4","0","0","0","0","2.35%"
"07-26-2021","ucbstudyabroad","2,249","0","0","0","223","3","0","14","10","3","2","1","0","0","0","21.43%"
"07-27-2021","ucberkeleysummer","1,459","1","2","1","112","0","0","42","30","2","2","0","0","0","0","4.76%"
"07-27-2021","ucbstudyabroad","2,251","2","2","0","223","0","0","61","13","0","0","0","0","0","0","0%"
"07-28-2021","ucberkeleysummer","1,459","0","2","2","112","0","0","16","11","2","2","0","0","0","0","12.5%"
